timestamp,cpu,mem,disk,process_info
2025-10-01 15:32:33,12.1,54.3,77.9,260|Code.exe|0.0|676.21484375;1792|MemCompression|0.0|408.6875;12944|MsMpEng.exe|0.0|289.78125;15420|Code.exe|0.0|302.49609375;15660|chrome.exe|0.0|551.87109375
2025-10-01 15:32:41,39.2,54.3,77.9,0|System Idle Process|231.4|0.0078125;260|Code.exe|0.2|676.21484375;1792|MemCompression|0.2|408.3359375;2924|Code.exe|29.7|124.32421875;11620|dwm.exe|28.4|61.6953125;11732|Code.exe|23.2|134.796875;12944|MsMpEng.exe|15.1|305.484375;15420|Code.exe|46.2|303.3671875;15660|chrome.exe|0.0|551.87109375
2025-10-01 15:33:44,34.6,54.2,77.9,260|Code.exe|0.0|676.21484375;1792|MemCompression|0.0|395.31640625;12944|MsMpEng.exe|0.0|290.0546875;15420|Code.exe|0.0|301.0;15660|chrome.exe|0.0|583.87890625
2025-10-01 15:33:44,40.4,54.2,77.9,260|Code.exe|0.0|676.21484375;1792|MemCompression|0.0|395.31640625;12944|MsMpEng.exe|0.0|290.0546875;15420|Code.exe|0.0|301.0;15660|chrome.exe|0.0|583.87890625
2025-10-01 15:33:44,43.8,54.3,77.9,260|Code.exe|0.0|676.21484375;1792|MemCompression|0.0|395.31640625;12944|MsMpEng.exe|0.0|290.0546875;15420|Code.exe|0.0|301.0;15660|chrome.exe|0.0|583.87890625
2025-10-01 15:33:50,32.6,54.6,77.9,0|System Idle Process|249.4|0.0078125;260|Code.exe|11.2|543.16796875;1792|MemCompression|0.0|395.19140625;12944|MsMpEng.exe|1.4|290.4453125;15420|Code.exe|0.2|301.1796875;15660|chrome.exe|0.0|583.87890625;20096|python3.11.exe|35.3|148.2421875;20976|msedge.exe|36.7|145.52734375
2025-10-01 15:33:51,30.2,54.5,77.9,0|System Idle Process|332.4|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|60.1|61.6640625;12944|MsMpEng.exe|0.0|290.4453125;15420|Code.exe|0.0|301.1796875;15660|chrome.exe|0.0|583.87890625;18692|msedge.exe|73.1|130.44921875;20096|python3.11.exe|37.5|148.2421875;20976|msedge.exe|87.5|145.71484375
2025-10-01 15:33:51,27.9,54.5,77.9,0|System Idle Process|50.4|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|99.7|61.6640625;12944|MsMpEng.exe|0.0|290.4453125;15420|Code.exe|0.0|301.1796875;15660|chrome.exe|0.0|583.87890625;18692|msedge.exe|49.6|130.44921875;20096|python3.11.exe|49.6|148.2421875;20976|msedge.exe|74.4|145.73828125
2025-10-01 15:33:56,52.9,55.1,77.9,0|System Idle Process|188.7|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11420|chrome.exe|22.8|159.3828125;11620|dwm.exe|21.9|61.6640625;12944|MsMpEng.exe|3.4|290.5078125;15420|Code.exe|0.3|301.09375;15660|chrome.exe|32.2|585.328125;20096|python3.11.exe|30.8|148.6640625
2025-10-01 15:33:57,38.8,55.2,77.9,0|System Idle Process|153.7|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;12944|MsMpEng.exe|0.0|290.5078125;15420|Code.exe|0.0|301.09375;15660|chrome.exe|2.8|582.90234375;20096|python3.11.exe|90.0|148.66015625;20976|msedge.exe|44.3|139.66015625
2025-10-01 15:33:57,40.2,55.2,77.9,0|System Idle Process|312.5|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|71.7|70.78125;12944|MsMpEng.exe|0.0|290.5078125;15420|Code.exe|0.0|301.09375;15660|chrome.exe|0.0|582.90234375;18692|msedge.exe|100.2|134.828125;20096|python3.11.exe|50.4|148.9140625;20976|msedge.exe|75.6|139.75390625
2025-10-01 15:34:01,48.8,55.4,77.9,0|System Idle Process|190.5|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|28.3|70.78125;12944|MsMpEng.exe|1.2|290.5234375;15420|Code.exe|0.4|301.17578125;15660|chrome.exe|0.4|583.23828125;18356|msedge.exe|38.6|166.921875;18692|msedge.exe|40.2|130.7265625;20096|python3.11.exe|22.4|148.6484375;20976|msedge.exe|69.7|184.5625
2025-10-01 15:34:02,59.5,55.4,77.9,0|System Idle Process|67.7|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|23.8|70.78125;12944|MsMpEng.exe|0.0|290.5234375;15420|Code.exe|0.0|301.17578125;15660|chrome.exe|0.0|583.23828125;18356|msedge.exe|23.4|167.89453125;18692|msedge.exe|30.2|130.83203125;20096|python3.11.exe|73.8|148.66796875;20976|msedge.exe|33.8|184.1328125
2025-10-01 15:34:02,84.6,55.4,77.9,0|System Idle Process|292.5|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;12944|MsMpEng.exe|3.3|290.53125;15420|Code.exe|0.0|301.203125;15660|chrome.exe|0.0|583.23828125;18356|msedge.exe|23.3|167.88671875;20096|python3.11.exe|86.2|149.1875;20976|msedge.exe|24.1|186.62890625
2025-10-01 15:34:06,45.3,55.3,77.9,0|System Idle Process|167.7|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|43.3|66.09375;12944|MsMpEng.exe|0.0|290.64453125;15420|Code.exe|0.0|301.26953125;15660|chrome.exe|0.0|581.78125;18356|msedge.exe|59.0|167.21484375;18692|msedge.exe|51.9|130.93359375;20976|msedge.exe|68.7|212.46875
2025-10-01 15:34:07,74.4,55.2,77.9,0|System Idle Process|77.1|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;12944|MsMpEng.exe|0.0|290.64453125;15420|Code.exe|0.0|301.26953125;15660|chrome.exe|0.0|581.78125;20096|python3.11.exe|91.4|148.890625;20976|msedge.exe|23.9|212.50390625
2025-10-01 15:34:08,85.7,55.2,77.9,0|System Idle Process|253.2|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|32.2|66.09375;12944|MsMpEng.exe|0.0|290.64453125;15420|Code.exe|0.0|301.26953125;15660|chrome.exe|0.0|581.78125;18692|msedge.exe|42.2|130.6328125;20096|python3.11.exe|96.0|149.14453125;20976|msedge.exe|61.4|212.55078125
2025-10-01 15:34:11,37.6,55.5,77.9,0|System Idle Process|175.4|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;11620|dwm.exe|39.6|66.35546875;12944|MsMpEng.exe|1.2|290.62890625;15420|Code.exe|0.4|300.37890625;15660|chrome.exe|4.9|579.5234375;18356|msedge.exe|30.9|166.953125;18692|msedge.exe|36.0|131.1796875;20096|python3.11.exe|26.3|148.9140625;20976|msedge.exe|47.4|177.875
2025-10-01 15:34:12,55.8,55.5,77.9,0|System Idle Process|195.3|0.0078125;260|Code.exe|0.0|543.16796875;1792|MemCompression|0.0|395.19140625;12944|MsMpEng.exe|0.0|290.62890625;15420|Code.exe|0.0|300.37890625;15660|chrome.exe|10.5|579.79296875;20096|python3.11.exe|94.6|148.9140625
